keys,EN,CN,JP,KO
未知科技,Unknown Technology,未知科技,未知の技術,알 수 없는 기술
研发点数,Research Points,研发点数,研究ポイント,연구 포인트
坦克驾驶员,Tank Driver,坦克驾驶员,戦車操縦手,전차 조종수
基地,Base,基地,基地,기지
您的部队,Your Troops,您的部队,あなたの部隊,당신의 부대
提升,Upgrade,提升,アップグレード,업그레이드
基地储蓄,Base Savings,基地储蓄,基地貯蓄,기지 저축
缴获技术,Captured Technology,缴获技术,鹵獲技術,노획 기술
基地初级,Base Level 1,基地初级,基地初級,기지 초급
游击车,Guerrilla Vehicle,游击车,遊撃車両,유격 차량
火箭车,Rocket Vehicle,火箭车,ロケット車両,로켓 차량
夺金者小队,Gold Grabber Squad,夺金者小队,ゴールドゲッター部隊,골드게터 분대
机场,Airfield,机场,飛行場,비행장
基地中级,Base Level 2,基地中级,基地中級,기지 중급
升级T2,Upgrade to T2,升级T2,T2にアップグレード,T2로 업그레이드
