keys,EN,CN,JP,KO
keys,Keys,钥匙,鍵（かぎ）,키
Tower of Duel 7,Tower of Duel 7,决斗之塔7,決闘の塔7（けっとうのとう セブン）,결투의 탑 7
near-future grey zone,Near-Future Grey Zone,近未来灰色地带,近未来グレーゾーン（きんみらいグレーゾーン）,근미래 회색 지대
任务目标,Mission Objective,任务目标,ミッション目標（ミッションもくひょう）,임무 목표
开始游戏,Start Game,开始游戏,ゲーム開始（ゲームかいし）,게임 시작
战役,Campaign,战役,キャンペーン,캠페인
部队,Troops,部队,部隊（ぶたい）,부대
科技,Technology,科技,テクノロジー,테크놀로지
游击车(100$),Guerrilla Car ($100),游击车(100$),ゲリラカー（100$）,게릴라 차량(100$)
夺金者小队(150$),Gold Grabber Squad ($150),夺金者小队(150$),ゴールドグラバー隊（150$）,골드 그래버 분대(150$)
火箭车(250$),Rocket Car ($250),火箭车(250$),ロケットカー（250$）,로켓 차량(250$)
飞鸟战机(400$),Bird Fighter ($400),飞鸟战机(400$),バードファイター（400$）,버드 파이터(400$)
战斗结束,Battle Over,战斗结束,戦闘終了（せんとうしゅうりょう）,전투 종료
您赢了,You Win,您赢了,あなたの勝利（あなたのしょうり）,승리했습니다
失败了,You Lose,失败了,敗北（はいぼく）,패배했습니다
研发,Research,研发,研究（けんきゅう）,연구
研究,Study,研究,研究（けんきゅう）,연구
tp,TP,TP,TP,TP
科技点,Tech Point,科技点,テクノポイント,테크 포인트
金币,Gold,金币,ゴールド,골드
